bidder_id,bids_count,auction_count,mean_bids_per_auction,tdiff_max,tdiff_min,tdiff_mean,tdiff_median,tdiff_std,tdiff_zeros,tdiff_ip,country_cnt,ip_entropy,url_entropy,price_max,price_min,price_mean,price_median,price_std,response_max,response_min,response_mean,response_median,response_std,device_cnt
001068c415025a009fee375a12cff4fcnht8y,1,1,1.0,5146526315789.5,578947369.0,582592599920.8384,124118421052.25,0.0,0,750303405572.7646,1,0.0,0.0,1284,1284,1284.0,1284.0,0.0,3842105263.0,3842105263.0,3842105263.0,3842105263.0,0.0,1
0030a2dd87ad2733e0873062e4f83954mkj86,1,1,1.0,5146526315789.5,578947369.0,582592599920.8384,124118421052.25,0.0,0,750303405572.7646,1,0.0,0.0,10606,10606,10606.0,10606.0,0.0,2210526316.0,2210526316.0,2210526316.0,2210526316.0,0.0,1
00a0517965f18610417ee784a05f494d4dw6e,141,74,1.9054054054054055,50125210526315.0,526315789.0,548683082706.7643,56157894737.0,4250423617811.021,0,689514935988.5946,16,4.523387140956166,4.05099160276357,17056,1,1632.4184397163122,560.0,2986.611881513968,3989473684210.0,0.0,49518742900.41007,3263157895.0,341870147662.301,67
00cc97158e6f4cb8eac3c0075918b7ffi5k8o,3,3,1.0,54913947368421.0,54052631579.0,27484000000000.0,27484000000000.0,38791803583601.164,0,27484000000000.0,2,1.0986122886681096,0.0,831,329,629.0,727.0,264.96037439587076,2947368421.0,157894737.0,1508771930.0,1421052632.0,1396804161.2421343,3
01067975436d123f717ee5aba0dd4bbfa0937,543,17,31.941176470588236,970421052632.0,52631579.0,25072829675.66605,14052631579.0,53328950770.42256,0,25521375277.27203,71,5.758072784199554,0.12571856161471573,40900,1,16649.98526703499,16151.0,10651.743676522448,3905947368421.0,0.0,14702631578.953703,210526316.0,197768425758.91858,165
012441119bcf83b23d4768bb72cea6d6carua,23,19,1.2105263157894737,2583894736843.0,105263158.0,562234449760.7727,475289473684.5,677556447007.1014,0,686657894736.8334,10,2.848899705841817,0.8058274790573101,10621,25,2007.7391304347825,874.0,2685.946544133867,57263157895.0,52631579.0,6986270022.826087,1947368421.0,12569486716.687712,16
01255c2c7c5578c186873422fc00fd7afwk8k,65,13,5.0,1459842105264.0,578947369.0,207486019736.84375,113342105263.0,271935937152.27286,0,220454385964.93332,5,3.945011271453668,2.411790547141802,37354,8,14282.338461538462,12368.0,12370.038573955775,542631578947.0,0.0,12210526315.846153,263157895.0,68933597710.74376,34
01349288df20199905e719f0ff7ee771nwryj,70,31,2.2580645161290325,1872894736842.0,157894737.0,190992372234.92755,45736842105.0,370452842999.9146,0,229999076638.94736,4,3.7507693977897736,2.2521017452485803,10933,3,1705.2285714285715,1072.0,2017.4609970292267,4332894736842.0,0.0,74327067669.17143,815789474.0,518085629728.55975,28
0141844fc725a85e38e12cc02fcdbbe8ofqxv,18,14,1.2857142857142858,2348052631579.0,2526315789.0,722510835913.3529,563105263158.0,773853096892.2288,0,767509868421.125,6,2.736339051105066,0.6365141682948128,20547,33,4150.055555555556,1053.0,6339.480035016995,50421052631.0,0.0,9643274854.0,2973684210.5,14415159532.910824,13
0181b91f58e6cbaa832235e2879c9c00ovrzi,15,9,1.6666666666666667,4712421052632.0,11052631579.0,899428571428.5714,335605263158.5,1335317473048.2698,0,899428571428.5714,3,2.615630577027551,1.7999587982097305,33152,81,5113.333333333333,1907.0,9637.340457576358,19736842105.0,52631578.0,3333333333.266667,1105263158.0,5240766907.49634,7
